token	token_ids	count
100th	16919	2
10th	6049	10
11th	6252	8
12th	5940	5
13th	6122	7
14th	6400	3
15th	6286	5
16th	5767	2
17th	5550	6
1800s	19878	1
1820s	28504	2
1830s	20400	4
1840s	19308	5
1850s	16488	1
1860s	15914	10
1870s	14896	17
1880s	12751	16
1890s	13678	13
18th	4985	4
1900s	16430	3
1920s	6641	4
1930s	5687	20
1940s	7675	5
1950s	4856	7
1960s	4120	11
1970s	3955	13
1980s	3865	12
1990s	4134	8
19th	3708	20
1st	3083	57
20th	3983	15
21st	7398	2
22nd	13816	4
23rd	13928	21
24th	13386	10
25th	10965	12
29th	16318	7
2nd	3416	77
35th	20198	3
3a	23842	2
41st	24233	1
49th	25726	2
4th	4343	15
50th	12951	2
57th	28623	2
5th	4833	8
6th	5351	16
70th	26934	1
7th	5504	5
8th	5893	6
90s	17233	3
9th	6280	49
a	1037	4030
aa	9779	16
abandon	10824	1
abandoned	4704	26
abandoning	19816	1
abandonment	22290	1
abbot	11428	6
abbreviation	22498	1
abdomen	13878	1
abducted	20361	1
abilities	7590	2
ability	3754	14
able	2583	43
aboard	7548	6
abolished	8961	2
abolition	15766	2
aboriginal	9757	2
about	2055	192
above	2682	46
abroad	6917	2
abruptly	9225	1
absence	6438	9
absent	9962	5
absolute	7619	1
absolutely	7078	1
absorbed	9063	3
absorption	16326	1
abstract	10061	1
abstraction	24504	1
abuse	6905	1
abuses	21078	2
abusive	20676	1
abyss	22159	1
academic	3834	7
academics	15032	2
accelerate	23306	4
accelerated	14613	2
accelerating	29494	1
accept	5138	7
acceptable	11701	3
acceptance	9920	2
accepted	3970	22
accepting	10564	3
access	3229	10
accessed	11570	1
accessibility	23661	1
accessible	7801	3
accession	16993	7
accident	4926	9
accidental	17128	1
accidentally	9554	2
accidents	13436	2
acclaim	10761	1
acclaimed	10251	4
accommodate	8752	4
accommodation	11366	3
accommodations	26167	2
accompanied	5642	8
accompaniment	22205	1
accompany	12673	1
accompanying	10860	4
accomplish	14570	3
accomplished	8885	3
accomplishment	24718	1
